id,molecule_chembl_id,MW,LogP,NumHDonors,NumHAcceptors,Druglikeness
0,CHEMBL133897,312.32500000000005,2.8032000000000004,0.0,6.0,1.0
1,CHEMBL336398,376.9130000000002,4.554600000000004,0.0,5.0,1.0
2,CHEMBL131588,426.8510000000001,5.357400000000003,0.0,5.0,0.0
3,CHEMBL130628,404.8450000000001,4.706900000000003,0.0,5.0,1.0
4,CHEMBL130478,346.33400000000006,3.095300000000001,0.0,6.0,1.0
5,CHEMBL130112,338.43600000000004,4.079920000000002,0.0,5.0,1.0
6,CHEMBL130098,296783.0,2.850100000000001,0.0,5.0,0.0
7,CHEMBL337486,408.95500000000027,4.571200000000005,0.0,6.0,1.0
8,CHEMBL336538,292364.0,2.2053000000000003,0.0,6.0,0.0
9,CHEMBL131051,408.4050000000001,4.670100000000003,0.0,6.0,1.0
10,CHEMBL341437,348.4280000000002,2.366,0.0,7.0,1.0
11,CHEMBL335033,312.3980000000001,3.3499000000000017,0.0,5.0,1.0
12,CHEMBL122983,394.4710000000002,4.008400000000004,1.0,4.0,1.0
13,CHEMBL338720,338.4360000000001,3.8637000000000032,0.0,5.0,1.0
14,CHEMBL339995,288.37600000000003,2.700100000000001,0.0,5.0,1.0
15,CHEMBL335158,406.9830000000003,5.724900000000006,0.0,5.0,0.0
16,CHEMBL131536,358.85400000000004,4.424900000000004,0.0,5.0,1.0
17,CHEMBL106126,266.34099999999995,2.5731200000000003,0.0,4.0,1.0
18,CHEMBL334971,368.4620000000001,4.170200000000003,0.0,6.0,1.0
19,CHEMBL336625,408.57100000000014,6.030420000000007,0.0,5.0,0.0
20,CHEMBL130666,336.8480000000002,3.774400000000002,0.0,5.0,1.0
21,CHEMBL134061,406.81700000000006,3.553200000000002,0.0,6.0,1.0
22,CHEMBL133388,276365.0,2.5051200000000007,0.0,5.0,0.0
23,CHEMBL130645,338.82000000000016,2.620700000000001,0.0,6.0,1.0
24,CHEMBL133580,428.98900000000015,6.375400000000006,0.0,5.0,0.0
25,CHEMBL336524,310.81000000000006,3.240200000000001,0.0,5.0,1.0
26,CHEMBL336276,346.5000000000001,4.455620000000004,0.0,5.0,1.0
27,CHEMBL334395,324.8370000000001,3.6303000000000023,0.0,5.0,1.0
28,CHEMBL131320,344362.0,3.4376200000000017,0.0,5.0,0.0
29,CHEMBL339297,367.4050000000001,3.383900000000001,1.0,6.0,1.0
30,CHEMBL337714,330.33500000000004,3.2155000000000022,0.0,5.0,1.0
31,CHEMBL122575,354.3620000000001,2.4778,2.0,4.0,1.0
32,CHEMBL130704,318.40200000000016,2.27572,0.0,6.0,1.0
33,CHEMBL46151,310.41900000000004,2.740600000000001,1.0,6.0,1.0
34,CHEMBL54126,223.296,1.9437,0.0,2.0,1.0
35,CHEMBL297316,285.36400000000003,2.2355,1.0,4.0,1.0
36,CHEMBL65667,388.51200000000017,1.8663999999999992,1.0,6.0,1.0
37,CHEMBL431519,486.7010000000004,4.597100000000005,1.0,6.0,1.0
38,CHEMBL296429,281401.0,2.404820000000001,1.0,4.0,0.0
39,CHEMBL154972,402.5020000000003,3.5459600000000027,2.0,7.0,1.0
40,CHEMBL152722,380.8760000000002,2.1050000000000004,3.0,6.0,1.0
41,CHEMBL544022,314838.0,3.385400000000001,1.0,5.0,0.0
42,CHEMBL349127,369.4730000000001,0.2805600000000022,2.0,8.0,1.0
43,CHEMBL156659,354.4540000000002,3.1106000000000016,2.0,6.0,1.0
44,CHEMBL45118,325.45400000000006,2.885200000000001,1.0,5.0,1.0
45,CHEMBL542609,266366.0,2.2602200000000003,1.0,5.0,0.0
46,CHEMBL155322,368.4850000000001,1.90756,2.0,7.0,1.0
47,CHEMBL154211,354.4580000000002,1.519059999999999,2.0,7.0,1.0
48,CHEMBL1203537,342.4470000000001,1.4228600000000002,3.0,7.0,1.0
49,CHEMBL86,299.8020000000001,2.0024,2.0,4.0,1.0
50,CHEMBL47375,297.4,2105.0,1.0,5.0,0.0
51,CHEMBL542360,286784.0,2.605200000000001,1.0,5.0,0.0
52,CHEMBL345849,370.45700000000016,0.4898599999999996,3.0,8.0,1.0
53,CHEMBL154689,314.39300000000003,0.5947600000000013,2.0,7.0,1.0
54,CHEMBL346733,328.42,0.98486,2.0,7.0,1.0
55,CHEMBL416464,282.36499999999995,1.9604,1.0,6.0,1.0
56,CHEMBL1203539,342.44700000000006,1.3749600000000006,2.0,7.0,1.0
57,CHEMBL347729,309.37,0.4116000000000016,2.0,7.0,1.0
58,CHEMBL296786,329.87300000000005,3.530000000000002,1.0,4.0,1.0
59,CHEMBL63173,402.5390000000002,2.2565,1.0,6.0,1.0
60,CHEMBL433041,359.5140000000002,4.114500000000003,1.0,4.0,1.0
61,CHEMBL292788,374.4850000000001,1.4763000000000004,1.0,6.0,1.0
62,CHEMBL33051,288307.0,-0.1995999999999986,2.0,4.0,0.0
